Device Name,D2 - 2635257,,,,,,,,,,,
Device Model,Kestrel DROP 2,,,,,,,,,,,
Serial Number,2635257,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Relative Humidity,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
YYYY-MM-DD HH:MM:SS,°F,%,°F,°F,,,,,,,,
"Jul 28, 2021 / 1:49:05 PM",75.1,52.7,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:10 PM",75.1,52.8,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:15 PM",75.1,52.8,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:20 PM",75.1,52.8,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:25 PM",75.1,52.8,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:30 PM",75.1,52.9,74.1,56.7,point,,,,,,,
"Jul 28, 2021 / 1:49:35 PM",75.1,52.9,74.1,56.8,point,,,,,,,
"Jul 28, 2021 / 1:49:40 PM",75.1,53,74.1,56.8,point,,,,,,,
"Jul 28, 2021 / 1:49:45 PM",75.1,53,74.1,56.8,point,,,,,,,
"Jul 28, 2021 / 1:49:50 PM",75.1,53.1,74.1,56.8,point,,,,,,,
"Jul 28, 2021 / 1:49:55 PM",75.1,53.2,74.1,56.9,point,,,,,,,
"Jul 28, 2021 / 1:50:00 PM",75.1,53.3,74.1,56.9,point,,,,,,,
"Jul 28, 2021 / 1:50:05 PM",75.1,53.3,74.1,56.9,point,,,,,,,
"Jul 28, 2021 / 1:50:10 PM",75.1,53.4,74.1,56.9,point,,,,,,,
"Jul 28, 2021 / 1:50:15 PM",75.1,53.5,74.3,57.1,point,,,,,,,
"Jul 28, 2021 / 1:50:20 PM",75.1,53.5,74.3,57.1,point,,,,,,,
"Jul 28, 2021 / 1:50:25 PM",75.1,53.5,74.3,57.1,point,,,,,,,
"Jul 28, 2021 / 1:50:30 PM",75.1,53.5,74.3,57.1,point,,,,,,,
"Jul 28, 2021 / 1:50:35 PM",75.1,53.6,74.3,57.1,point,,,,,,,
"Jul 28, 2021 / 1:50:40 PM",75.1,53.7,74.3,57.2,point,,,,,,,
"Jul 28, 2021 / 1:50:45 PM",75.1,53.7,74.3,57.2,point,,,,,,,
"Jul 28, 2021 / 1:50:50 PM",75.1,53.8,74.3,57.3,point,,,,,,,
"Jul 28, 2021 / 1:50:55 PM",75.1,53.8,74.3,57.3,point,,,,,,,
"Jul 28, 2021 / 1:51:00 PM",75.1,53.9,74.3,57.3,point,,,,,,,
